"id","tinh_tp","quan_huyen","phuong_xa","tinh_tp_lower","quan_huyen_lower","phuong_xa_lower"
1346,Bắc Ninh,YÊN PHONG,,bac ninh,yen phong,
1347,Kon Tum,IA H'DRAI,,kon tum,ia h'drai,
1348,Đắk Lắk,EA H'LEO,,dak lak,ea h'leo,
1349,Đắk Lắk,M'ĐRẮK,,dak lak,m'drak,
1350,Đắk Nông,ĐẮK R'LẤP,,dak nong,dak r'lap,
1351,Hà Nội,BA VÌ,,ha noi,ba vi,
1352,Hà Nội,BA ĐÌNH,,ha noi,ba dinh,
1353,Hà Nội,BẮC TỪ LIÊM,,ha noi,bac tu liem,
1354,Hà Nội,CHƯƠNG MỸ,,ha noi,chuong my,
1355,Hà Nội,CẦU GIẤY,,ha noi,cau giay,
1356,Hà Nội,GIA LÂM,,ha noi,gia lam,
1357,Hà Nội,HAI BÀ TRƯNG,,ha noi,hai ba trung,
1358,Hà Nội,HOÀI ĐỨC,,ha noi,hoai duc,
1359,Hà Nội,HOÀN KIẾM,,ha noi,hoan kiem,
1360,Hà Nội,HOÀNG MAI,,ha noi,hoang mai,
1361,Hà Nội,HÀ ĐÔNG,,ha noi,ha dong,
1362,Hà Nội,LONG BIÊN,,ha noi,long bien,
1363,Hà Nội,MÊ LINH,,ha noi,me linh,
1364,Hà Nội,MỸ ĐỨC,,ha noi,my duc,
1365,Hà Nội,NAM TỪ LIÊM,,ha noi,nam tu liem,
1366,Hà Nội,PHÚ XUYÊN,,ha noi,phu xuyen,
1367,Gia Lai,IA PA,,gia lai,ia pa,
1368,Kiên Giang,CHÂU THÀNH,,kien giang,chau thanh,
1369,Kiên Giang,GIANG THÀNH,,kien giang,giang thanh,
1370,Kiên Giang,GIỒNG RIỀNG,,kien giang,giong rieng,
1371,Kiên Giang,GÒ QUAO,,kien giang,go quao,
1372,Kiên Giang,HÀ TIÊN,,kien giang,ha tien,
1373,Kiên Giang,HÒN ĐẤT,,kien giang,hon dat,
1374,Kiên Giang,KIÊN HẢI,,kien giang,kien hai,
1375,Kiên Giang,KIÊN LƯƠNG,,kien giang,kien luong,
1376,Kiên Giang,PHÚ QUỐC,,kien giang,phu quoc,
1377,Kiên Giang,RẠCH GIÁ,,kien giang,rach gia,
1378,Kiên Giang,TÂN HIỆP,,kien giang,tan hiep,
1379,Kiên Giang,U MINH THƯỢNG,,kien giang,u minh thuong,
1380,Kiên Giang,VĨNH THUẬN,,kien giang,vinh thuan,
1381,Bến Tre,BA TRI,,ben tre,ba tri,
1382,Bến Tre,BÌNH ĐẠI,,ben tre,binh dai,
1383,Bến Tre,BẾN TRE,,ben tre,ben tre,
1384,Bến Tre,CHÂU THÀNH,,ben tre,chau thanh,
1385,Bến Tre,CHỢ LÁCH,,ben tre,cho lach,
1386,Bến Tre,GIỒNG TRÔM,,ben tre,giong trom,
1387,Bến Tre,MỎ CÀY BẮC,,ben tre,mo cay bac,
1388,Bến Tre,MỎ CÀY NAM,,ben tre,mo cay nam,
1389,Bến Tre,THẠNH PHÚ,,ben tre,thanh phu,
1390,Trà Vinh,CHÂU THÀNH,,tra vinh,chau thanh,
1391,Trà Vinh,CÀNG LONG,,tra vinh,cang long,
1392,Trà Vinh,CẦU KÈ,,tra vinh,cau ke,
1393,Trà Vinh,CẦU NGANG,,tra vinh,cau ngang,
1394,Trà Vinh,DUYÊN HẢI,,tra vinh,duyen hai,
1395,Trà Vinh,TIỂU CẦN,,tra vinh,tieu can,
1396,Trà Vinh,TRÀ CÚ,,tra vinh,tra cu,
1397,Trà Vinh,TRÀ VINH,,tra vinh,tra vinh,
1398,Sóc Trăng,CHÂU THÀNH,,soc trang,chau thanh,
1399,Sóc Trăng,CÙ LAO DUNG,,soc trang,cu lao dung,
1400,Phú Thọ,CẨM KHÊ,,phu tho,cam khe,
1401,Phú Thọ,HẠ HOÀ,,phu tho,ha hoa,
1402,Phú Thọ,LÂM THAO,,phu tho,lam thao,
1403,Phú Thọ,PHÙ NINH,,phu tho,phu ninh,
1404,Phú Thọ,PHÚ THỌ,,phu tho,phu tho,
1405,Phú Thọ,TAM NÔNG,,phu tho,tam nong,
1406,Phú Thọ,THANH BA,,phu tho,thanh ba,
1407,Phú Thọ,THANH SƠN,,phu tho,thanh son,
1408,Phú Thọ,THANH THUỶ,,phu tho,thanh thuy,
1409,Phú Thọ,TÂN SƠN,,phu tho,tan son,
1410,Phú Thọ,VIỆT TRÌ,,phu tho,viet tri,
1411,Phú Thọ,YÊN LẬP,,phu tho,yen lap,
1412,Phú Thọ,ĐOAN HÙNG,,phu tho,doan hung,
